GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
SEMA4D,10507,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.35,,15020195
SEMA4F,10505,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.26,,20156427
SEMA4G,57715,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.18,,20156427
SEMA5A,9037,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.26,,15020195
SEMA5B,54437,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.47,,15020195
SEMA6A,57556,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.33,,15020195
SEMA6D,80031,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.23,,15020195
SENP1,29843,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.13,,20156427
SENP1,29843,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.13,,15020195
SENP2,59343,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.56,,15020195
SENP3B,565123,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,5.14,,2009908|7657819
SENP5,205564,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.45,,20156427
SENP6,26054,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.89,,20156427
SENP6,26054,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.89,,15020195
SENP6,26054,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.87,,11259349|16720336|16785264
SENP7,57337,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.50,,15020195
SENP8,123228,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.50,,20156427
SEPHS1,22929,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,3.90,,15020195
SEPSECS,51091,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.18,,20156427
SEPSECS,51091,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.18,,15020195
SEPTIN10,151011,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.41,,20156427
SEPTIN11,55752,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.16,,20156427
SEPTIN2,4735,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.93,,20156427
SEPTIN2,4735,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.93,,15020195
SEPTIN4,5414,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.10,,20156427
SEPTIN6,23157,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.04,,20156427
SEPTIN6,23157,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,9.04,,15020195
SEPTIN7,989,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.27,,20156427
SEPTIN7,989,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.91,,11259349|16720336|16785264
SEPTIN7A,394136,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,5.22,,2009908|7657819
SEPTIN8,23176,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.87,,20156427
SEPTIN8,23176,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,8.87,,15020195
SEPTIN8,23176,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.81,,11259349|16720336|16785264
SEPTIN9,10801,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.11,,20156427
SERAC1,84947,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.35,,20156427
SERBP1,26135,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,14.12,,20156427
SERBP1,26135,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,14.12,,15020195
SERBP1,26135,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,14.12,,15020195
SERGEF,26297,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.57,,15020195
SERHL2,253190,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.85,,15020195
SERINC2,347735,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.31,,20156427
SERINC2,347735,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.31,,15020195
SERINC3,10955,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.82,,20156427
SERINC3,10955,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,8.82,,15020195
SERINC3,10955,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.79,,11259349|16720336|16785264
SERINC5,256987,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.18,,20156427
SERP1,27230,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.16,,20156427
SERP2,387923,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.74,,15020195
SERPINA1,5265,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,12.89,,15020195
SERPINA1,5265,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,12.89,,20156427
SERPINA1,5265,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,12.89,,15020195
SERPINA10,51156,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.19,,20156427
SERPINA11,256394,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,4.65,,20156427
SERPINA3,12,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.66,,20156427
SERPINA3,12,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,8.66,,20156427
SERPINA3C,16625,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.52,,20156427
SERPINA3K,20714,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.33,,20156427
SERPINA3K,20714,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,9.33,,20156427
SERPINA3M,20717,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.52,,15020195
SERPINA3N,20716,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.46,,20156427
SERPINA3N,20716,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,8.46,,15020195
SERPINA4,5267,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.42,,20156427
SERPINA5,5104,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.21,,20156427
SERPINA6,866,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.08,,20156427
SERPINA7,6906,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,7.94,,20156427
SERPINA7,6906,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,7.94,,15020195
SERPINA9,327657,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.66,,15020195
SERPINB1,1992,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.10,,20156427
SERPINB13,5275,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.87,,15020195
SERPINB1A,66222,"TOBACCO ADDICTION, SUSCEPTIBILITY TO",OMIM:188890,,Nicotine,3.79,,11259349|16720336|16785264
SERPINB2,5055,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,7.87,,15020195
SERPINB2,5055,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,7.87,,15020195
SERPINB3,6317,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.42,,20156427
SERPINB3,6317,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.42,,15020195
SERPINB6,5269,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.24,,20156427
SERPINB6B,20708,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.29,,20156427
SERPINB6B,20708,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.29,,15020195
SERPINB6EL1,306889,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,4.98,,15020195
SERPINB8,5271,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.29,,20156427
SERPINB8,5271,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.29,,15020195
SERPINB9,5272,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.00,,20156427
SERPINB9B,20706,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.94,,15020195
SERPINB9D,20726,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,4.70,,15020195
SERPINB9G,93806,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,4.42,,20156427
